pair_id,gene_a_name,gene_b_name,dz_ss_mean,dz_ss_se,dz_ss_ci_low,dz_ss_ci_high,dz_ss_i2,n_studies_ss,p_ss,dz_soth_mean,dz_soth_se,kappa_ss,kappa_soth,total_samples,eggers_p_ss,publication_bias_ss,combined_p_value,power_score,consistency_score,control_weighted_r,sepsis_weighted_r,septic_shock_weighted_r,sepsis_correlation,shock_correlation,correlation_delta,corr_delta_abs,corr_delta_relative,is_amplification,is_polarity_switch,progression_slope,correlation_pattern,confidence_score,uncertainty,rationale,model_version,processing_timestamp,is_statistically_sound
65_80,CCNA2,DGKE,0.151172788,0.003221639,0.144858493,0.157487084,11.47991046,8,0,-0.022117489,0.00365755,0.625,0.75,612,0.520049575,FALSE,0,0.991420571,1,0.35808181,0.130530586,0.252117941,0.130530586,0.252117941,0.121587355,0.121587355,0.865202078,1,0,0.060793678,AMPLIFICATION_POSITIVE,60,0,"{'confidence_score': 60, 'overall_assessment': 'Moderate confidence - some limitations require consideration', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.151172788, 'description': 'Very small effect size (|dz| = 0.151) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.625, 'description': 'Good agreement between studies (? = 0.62)', 'importance': 0.5}, {'factor': 'Heterogeneity', 'strength': 'Low', 'impact': 'positive', 'value': 11.47991046, 'description': 'Low heterogeneity (I² = 11.5%) indicates consistent effects across studies', 'importance': 0.4}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.151172788, 'p_value': 0.0, 'heterogeneity': 11.47991046, 'consistency': 0.625, 'power_score': 0.991420571, 'consistency_score': 1.0}, 'limitations': ['Small effect size (|dz| < 0.2) may have limited clinical relevance'], 'recommendations': ['Proceed with caution - address identified limitations', 'Consider additional validation studies before clinical translation'], 'correlation_patterns': {'correlation_delta': 0.12158735500000001, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'LOW', 'progression_marker_potential': 'LOW', 'sepsis_correlation': 0.130530586, 'shock_correlation': 0.252117941}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
65_98,CCNA2,GOLGA8A,0.180350507,0.002701077,0.175056493,0.185644521,0,8,0,0.019394025,0.005058824,0.75,0.5,612,0.54918435,FALSE,0.035374156,0.991355773,0.872321689,0.317519991,0.035184869,0.235314516,0.035184869,0.235314516,0.200129647,0.200129647,4.429129738,1,0,0.100064824,AMPLIFICATION_POSITIVE,70,0,"{'confidence_score': 70, 'overall_assessment': 'Moderate confidence - some limitations require consideration. Shows amplification positive pattern', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.180350507, 'description': 'Very small effect size (|dz| = 0.180) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.75, 'description': 'Good agreement between studies (? = 0.75)', 'importance': 0.5}, {'factor': 'Heterogeneity', 'strength': 'Low', 'impact': 'positive', 'value': 0.0, 'description': 'Low heterogeneity (I² = 0.0%) indicates consistent effects across studies', 'importance': 0.4}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.180350507, 'p_value': 0.0, 'heterogeneity': 0.0, 'consistency': 0.75, 'power_score': 0.991355773, 'consistency_score': 0.872321689}, 'limitations': ['Small effect size (|dz| < 0.2) may have limited clinical relevance'], 'recommendations': ['Proceed with caution - address identified limitations', 'Consider additional validation studies before clinical translation', 'Investigate correlation dynamics across disease progression', 'Evaluate as potential disease staging or progression marker', 'Explore as dynamic biomarker for treatment response monitoring'], 'correlation_patterns': {'correlation_delta': 0.200129647, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'MODERATE', 'progression_marker_potential': 'MODERATE', 'sepsis_correlation': 0.035184869, 'shock_correlation': 0.235314516}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
65_111,CCNA2,ZNF823,0.199614552,0.011232062,0.177600114,0.221628989,71.37393463,8,0,-0.048014832,0.021782324,0.625,0.625,612,0.631798124,FALSE,0,0.984135167,0.843370443,0.468234785,0.228059936,0.380533207,0.228059936,0.380533207,0.152473271,0.152473271,0.640482702,1,0,0.076236636,AMPLIFICATION_POSITIVE,43.5,0,"{'confidence_score': 43, 'overall_assessment': 'Low confidence - significant statistical limitations', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.199614552, 'description': 'Very small effect size (|dz| = 0.200) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'High', 'impact': 'negative', 'value': 71.37393463, 'description': 'High heterogeneity (I² = 71.4%) indicates substantial variation between studies', 'importance': 0.7}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.625, 'description': 'Good agreement between studies (? = 0.62)', 'importance': 0.5}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.199614552, 'p_value': 0.0, 'heterogeneity': 71.37393463, 'consistency': 0.625, 'power_score': 0.984135167, 'consistency_score': 0.843370443}, 'limitations': ['Substantial heterogeneity (I² > 50%) suggests variability in study results', 'Small effect size (|dz| < 0.2) may have limited clinical relevance'], 'recommendations': ['Requires substantial additional evidence before consideration', 'Focus on addressing key statistical limitations'], 'correlation_patterns': {'correlation_delta': 0.152473271, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'LOW', 'progression_marker_potential': 'MODERATE', 'sepsis_correlation': 0.228059936, 'shock_correlation': 0.380533207}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
8_77,JADE2,EPG5,0.262712101,0.001318364,0.260128156,0.265296047,0,8,0,0.076957204,0.008061052,1,0.625,612,0.015649791,TRUE,0,0.991929289,0.83973322,0.451556664,-0.181064124,0.256129903,-0.181064124,0.256129903,0.437194027,0.437194027,2.288205749,1,1,0.218597014,POLARITY_SWITCH,100,0,"{'confidence_score': 100, 'overall_assessment': 'High confidence - strong statistical evidence with minimal limitations. Shows polarity switch pattern', 'key_factors': [{'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Effect Size', 'strength': 'Small', 'impact': 'low', 'value': 0.262712101, 'description': 'Small effect size (|dz| = 0.263) indicates subtle but detectable signal', 'importance': 0.6}, {'factor': 'Study Consistency', 'strength': 'Excellent', 'impact': 'positive', 'value': 1.0, 'description': 'Excellent agreement between studies (? = 1.00)', 'importance': 0.5}, {'factor': 'Heterogeneity', 'strength': 'Low', 'impact': 'positive', 'value': 0.0, 'description': 'Low heterogeneity (I² = 0.0%) indicates consistent effects across studies', 'importance': 0.4}, {'factor': 'Publication Bias', 'strength': 'High Risk', 'impact': 'negative', 'value': 0.015649791, 'description': ""Evidence of publication bias (Egger's p = 0.016)"", 'importance': 0.4}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.262712101, 'p_value': 0.0, 'heterogeneity': 0.0, 'consistency': 1.0, 'power_score': 0.991929289, 'consistency_score': 0.83973322}, 'limitations': ['Moderate effect size (0.2 ? |dz| < 0.5) suggests modest clinical impact'], 'recommendations': ['Proceed with experimental validation', 'Strong candidate for clinical translation pathways', 'Investigate correlation dynamics across disease progression', 'Evaluate as potential disease staging or progression marker'], 'correlation_patterns': {'correlation_delta': 0.437194027, 'pattern_type': 'POLARITY_SWITCH', 'clinical_significance': 'HIGH', 'progression_marker_potential': 'HIGH', 'sepsis_correlation': -0.181064124, 'shock_correlation': 0.256129903}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
15_30,NLRP1,ACOT13,0.169249212,0.002819325,0.163723436,0.174774987,1.669691543,8,0,0.121342817,0.00723127,0.875,0.625,612,0.891749561,FALSE,0.01011725,0.944533448,0.839122837,0.065667638,0.082465657,0.270252802,0.082465657,0.270252802,0.187787145,0.187787145,2.030885316,1,0,0.093893573,AMPLIFICATION_POSITIVE,60,0,"{'confidence_score': 60, 'overall_assessment': 'Moderate confidence - some limitations require consideration', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.169249212, 'description': 'Very small effect size (|dz| = 0.169) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Study Consistency', 'strength': 'Excellent', 'impact': 'positive', 'value': 0.875, 'description': 'Excellent agreement between studies (? = 0.88)', 'importance': 0.5}, {'factor': 'Heterogeneity', 'strength': 'Low', 'impact': 'positive', 'value': 1.669691543, 'description': 'Low heterogeneity (I² = 1.7%) indicates consistent effects across studies', 'importance': 0.4}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.169249212, 'p_value': 0.0, 'heterogeneity': 1.669691543, 'consistency': 0.875, 'power_score': 0.944533448, 'consistency_score': 0.839122837}, 'limitations': ['Small effect size (|dz| < 0.2) may have limited clinical relevance'], 'recommendations': ['Proceed with caution - address identified limitations', 'Consider additional validation studies before clinical translation'], 'correlation_patterns': {'correlation_delta': 0.18778714500000002, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'LOW', 'progression_marker_potential': 'MODERATE', 'sepsis_correlation': 0.082465657, 'shock_correlation': 0.270252802}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
15_24,NLRP1,CPQ,0.15573075,0.014610018,0.127095641,0.184365859,73.35095379,8,0,0.066922247,0.010395699,0.75,0.625,612,0.027527288,TRUE,6.66E-16,0.984345059,0.825241891,0.231410836,0.251615095,0.38001665,0.251615095,0.38001665,0.128401555,0.128401555,0.490803312,1,0,0.064200778,AMPLIFICATION_POSITIVE,43.5,0,"{'confidence_score': 43, 'overall_assessment': 'Low confidence - significant statistical limitations', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.15573075, 'description': 'Very small effect size (|dz| = 0.156) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'High', 'impact': 'negative', 'value': 73.35095379, 'description': 'High heterogeneity (I² = 73.4%) indicates substantial variation between studies', 'importance': 0.7}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.75, 'description': 'Good agreement between studies (? = 0.75)', 'importance': 0.5}, {'factor': 'Publication Bias', 'strength': 'High Risk', 'impact': 'negative', 'value': 0.027527288, 'description': ""Evidence of publication bias (Egger's p = 0.028)"", 'importance': 0.4}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.15573075, 'p_value': 0.0, 'heterogeneity': 73.35095379, 'consistency': 0.75, 'power_score': 0.984345059, 'consistency_score': 0.825241891}, 'limitations': ['Substantial heterogeneity (I² > 50%) suggests variability in study results', 'Small effect size (|dz| < 0.2) may have limited clinical relevance'], 'recommendations': ['Requires substantial additional evidence before consideration', 'Focus on addressing key statistical limitations'], 'correlation_patterns': {'correlation_delta': 0.128401555, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'LOW', 'progression_marker_potential': 'LOW', 'sepsis_correlation': 0.251615095, 'shock_correlation': 0.38001665}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
15_45,NLRP1,TMX4,0.246577045,0.002891581,0.24090965,0.252244441,3.226402381,8,0,0.147939183,0.004831925,0.875,0.625,612,0.864133498,FALSE,9.75E-08,0.969163819,0.855383916,0.146104686,-0.09271551,0.29331967,-0.09271551,0.29331967,0.38603518,0.38603518,3.758294925,1,1,0.19301759,POLARITY_SWITCH,100,0,"{'confidence_score': 100, 'overall_assessment': 'High confidence - strong statistical evidence with minimal limitations. Shows polarity switch pattern', 'key_factors': [{'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Effect Size', 'strength': 'Small', 'impact': 'low', 'value': 0.246577045, 'description': 'Small effect size (|dz| = 0.247) indicates subtle but detectable signal', 'importance': 0.6}, {'factor': 'Study Consistency', 'strength': 'Excellent', 'impact': 'positive', 'value': 0.875, 'description': 'Excellent agreement between studies (? = 0.88)', 'importance': 0.5}, {'factor': 'Heterogeneity', 'strength': 'Low', 'impact': 'positive', 'value': 3.226402381, 'description': 'Low heterogeneity (I² = 3.2%) indicates consistent effects across studies', 'importance': 0.4}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.246577045, 'p_value': 0.0, 'heterogeneity': 3.226402381, 'consistency': 0.875, 'power_score': 0.969163819, 'consistency_score': 0.855383916}, 'limitations': ['Moderate effect size (0.2 ? |dz| < 0.5) suggests modest clinical impact'], 'recommendations': ['Proceed with experimental validation', 'Strong candidate for clinical translation pathways', 'Investigate correlation dynamics across disease progression', 'Evaluate as potential disease staging or progression marker'], 'correlation_patterns': {'correlation_delta': 0.38603518, 'pattern_type': 'POLARITY_SWITCH', 'clinical_significance': 'HIGH', 'progression_marker_potential': 'HIGH', 'sepsis_correlation': -0.09271551, 'shock_correlation': 0.29331967}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
56_79,NPL,CD96,-0.155696413,0.011043756,-0.177341777,-0.13405105,69.93550858,8,0,0.057209918,0.01628774,0.625,0.75,612,0.69069195,FALSE,0,0.98629517,0.73300133,-0.470005237,-0.246556558,-0.343847161,-0.246556558,-0.343847161,-0.097290603,0.097290603,0.37921698,0,0,-0.048645302,STABLE,38.5,0,"{'confidence_score': 38, 'overall_assessment': 'Very low confidence - does not meet minimum statistical thresholds', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.155696413, 'description': 'Very small effect size (|dz| = 0.156) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'High', 'impact': 'negative', 'value': 69.93550858, 'description': 'High heterogeneity (I² = 69.9%) indicates substantial variation between studies', 'importance': 0.7}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.625, 'description': 'Good agreement between studies (? = 0.62)', 'importance': 0.5}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': -0.155696413, 'p_value': 0.0, 'heterogeneity': 69.93550858, 'consistency': 0.625, 'power_score': 0.98629517, 'consistency_score': 0.73300133}, 'limitations': ['Substantial heterogeneity (I² > 50%) suggests variability in study results', 'Small effect size (|dz| < 0.2) may have limited clinical relevance'], 'recommendations': ['Not recommended for further investigation based on current evidence', 'Consider alternative biomarker candidates with stronger statistical support'], 'correlation_patterns': {'correlation_delta': -0.097290603, 'pattern_type': 'STABLE', 'clinical_significance': 'MINIMAL', 'progression_marker_potential': 'LOW', 'sepsis_correlation': -0.246556558, 'shock_correlation': -0.343847161}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
5_77,NUB1,EPG5,0.278605571,0.002852327,0.273015112,0.28419603,2.376534368,8,0,0.138580067,0.019763909,0.75,0.75,612,0.075084069,TRUE,0.016482202,0.99360546,0.678041136,0.15048099,0.011507054,0.328202215,0.011507054,0.328202215,0.316695161,0.316695161,14.72517626,1,0,0.158347581,AMPLIFICATION_POSITIVE,100,0,"{'confidence_score': 100, 'overall_assessment': 'High confidence - strong statistical evidence with minimal limitations. Shows amplification positive pattern', 'key_factors': [{'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Effect Size', 'strength': 'Small', 'impact': 'low', 'value': 0.278605571, 'description': 'Small effect size (|dz| = 0.279) indicates subtle but detectable signal', 'importance': 0.6}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.75, 'description': 'Good agreement between studies (? = 0.75)', 'importance': 0.5}, {'factor': 'Heterogeneity', 'strength': 'Low', 'impact': 'positive', 'value': 2.376534368, 'description': 'Low heterogeneity (I² = 2.4%) indicates consistent effects across studies', 'importance': 0.4}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.278605571, 'p_value': 0.0, 'heterogeneity': 2.376534368, 'consistency': 0.75, 'power_score': 0.99360546, 'consistency_score': 0.678041136}, 'limitations': ['Moderate effect size (0.2 ? |dz| < 0.5) suggests modest clinical impact'], 'recommendations': ['Proceed with experimental validation', 'Strong candidate for clinical translation pathways', 'Investigate correlation dynamics across disease progression', 'Evaluate as potential disease staging or progression marker', 'Explore as dynamic biomarker for treatment response monitoring'], 'correlation_patterns': {'correlation_delta': 0.316695161, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'HIGH', 'progression_marker_potential': 'HIGH', 'sepsis_correlation': 0.011507054, 'shock_correlation': 0.328202215}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
39_107,OGFRL1,IRS2,0.18089048,0.002522899,0.175945688,0.185835271,0,8,0,-0.138041818,0.010055605,0.75,0.75,612,0.051609772,TRUE,0,0.986389752,1,0.594086836,0.066646187,0.248592471,0.066646187,0.248592471,0.181946284,0.181946284,2.373846516,1,0,0.090973142,AMPLIFICATION_POSITIVE,60,0,"{'confidence_score': 60, 'overall_assessment': 'Moderate confidence - some limitations require consideration', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.18089048, 'description': 'Very small effect size (|dz| = 0.181) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.75, 'description': 'Good agreement between studies (? = 0.75)', 'importance': 0.5}, {'factor': 'Heterogeneity', 'strength': 'Low', 'impact': 'positive', 'value': 0.0, 'description': 'Low heterogeneity (I² = 0.0%) indicates consistent effects across studies', 'importance': 0.4}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.18089048, 'p_value': 0.0, 'heterogeneity': 0.0, 'consistency': 0.75, 'power_score': 0.986389752, 'consistency_score': 1.0}, 'limitations': ['Small effect size (|dz| < 0.2) may have limited clinical relevance'], 'recommendations': ['Proceed with caution - address identified limitations', 'Consider additional validation studies before clinical translation'], 'correlation_patterns': {'correlation_delta': 0.181946284, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'LOW', 'progression_marker_potential': 'MODERATE', 'sepsis_correlation': 0.066646187, 'shock_correlation': 0.248592471}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
