pair_id,gene_a_name,gene_b_name,dz_ss_mean,dz_ss_se,dz_ss_ci_low,dz_ss_ci_high,dz_ss_i2,n_studies_ss,p_ss,dz_soth_mean,dz_soth_se,kappa_ss,kappa_soth,total_samples,eggers_p_ss,publication_bias_ss,combined_p_value,power_score,consistency_score,control_weighted_r,sepsis_weighted_r,septic_shock_weighted_r,sepsis_correlation,shock_correlation,correlation_delta,corr_delta_abs,corr_delta_relative,is_amplification,is_polarity_switch,progression_slope,correlation_pattern,confidence_score,uncertainty,rationale,model_version,processing_timestamp,is_statistically_sound
9_70,PKN2,DOCK5,0.335040108,0.021656265,0.292594609,0.377485607,85.36346073,8,0,0.22083962,0.024882049,0.625,0.625,612,0.50981815,FALSE,0,0.991499035,1,0.262789991,0.191509966,0.542763572,0.191509966,0.542763572,0.351253606,0.351253606,1.743107862,1,0,0.175626803,AMPLIFICATION_POSITIVE,62.5,0,"{'confidence_score': 62, 'overall_assessment': 'LOW CONFIDENCE - Does not meet minimum statistical thresholds for reliable interpretation', 'key_factors': [{'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'Very High', 'impact': 'negative', 'value': 85.36346073, 'description': 'Very high heterogeneity (I² = 85.4%) suggests significant inconsistency', 'importance': 0.7}, {'factor': 'Effect Size', 'strength': 'Small', 'impact': 'low', 'value': 0.335040108, 'description': 'Small effect size (|dz| = 0.335) indicates subtle but detectable signal', 'importance': 0.6}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.625, 'description': 'Good agreement between studies (κ = 0.62)', 'importance': 0.5}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.335040108, 'p_value': 0.0, 'heterogeneity': 85.36346073, 'consistency': 0.625, 'power_score': 0.991499035, 'consistency_score': 1.0}, 'limitations': ['FAILED STATISTICAL SANITY CHECK - Results are not statistically reliable'], 'recommendations': ['DO NOT PROCEED - Biomarker fails statistical sanity checks', 'Consider alternative candidates with stronger statistical evidence'], 'correlation_patterns': {'correlation_delta': 0.351253606, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'HIGH', 'progression_marker_potential': 'HIGH', 'sepsis_correlation': 0.191509966, 'shock_correlation': 0.542763572}}",v1.0.0,2025-10-04T08:59:39.361920,FALSE
39_73,OGFRL1,MKI67,-0.182767324,0.027109293,-0.235900563,-0.129634086,88.74563704,8,1.56E-11,-0.094006632,0.024441769,0.625,0.625,612,0.081881587,TRUE,0,0.993667012,1,-0.288267647,-0.391663173,-0.535761515,-0.391663173,-0.535761515,-0.144098342,0.144098342,0.358754179,1,0,-0.072049171,ATTENUATION_NEGATIVE,32.5,0,"{'confidence_score': 32, 'overall_assessment': 'LOW CONFIDENCE - Does not meet minimum statistical thresholds for reliable interpretation', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.182767324, 'description': 'Very small effect size (|dz| = 0.183) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 1.56e-11, 'description': 'Very strong statistical evidence (p = 1.56e-11)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'Very High', 'impact': 'negative', 'value': 88.74563704, 'description': 'Very high heterogeneity (I² = 88.7%) suggests significant inconsistency', 'importance': 0.7}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.625, 'description': 'Good agreement between studies (κ = 0.62)', 'importance': 0.5}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': -0.182767324, 'p_value': 1.56e-11, 'heterogeneity': 88.74563704, 'consistency': 0.625, 'power_score': 0.993667012, 'consistency_score': 1.0}, 'limitations': ['FAILED STATISTICAL SANITY CHECK - Results are not statistically reliable'], 'recommendations': ['DO NOT PROCEED - Biomarker fails statistical sanity checks', 'Consider alternative candidates with stronger statistical evidence'], 'correlation_patterns': {'correlation_delta': -0.14409834200000005, 'pattern_type': 'ATTENUATION_NEGATIVE', 'clinical_significance': 'LOW', 'progression_marker_potential': 'LOW', 'sepsis_correlation': -0.391663173, 'shock_correlation': -0.535761515}}",v1.0.0,2025-10-04T08:59:39.361920,FALSE
90_94,SYK,DHCR7,0.212763778,0.014633948,0.184081766,0.241445789,78.3933337,8,0,0.146874258,0.010390349,0.625,0.625,612,0.214370903,FALSE,0,0.996332116,1,0.145855308,0.26585384,0.459665638,0.26585384,0.459665638,0.193811798,0.193811798,0.702588726,1,0,0.096905899,AMPLIFICATION_POSITIVE,42.5,0,"{'confidence_score': 42, 'overall_assessment': 'Low confidence - significant statistical limitations', 'key_factors': [{'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'Very High', 'impact': 'negative', 'value': 78.3933337, 'description': 'Very high heterogeneity (I² = 78.4%) suggests significant inconsistency', 'importance': 0.7}, {'factor': 'Effect Size', 'strength': 'Small', 'impact': 'low', 'value': 0.212763778, 'description': 'Small effect size (|dz| = 0.213) indicates subtle but detectable signal', 'importance': 0.6}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.625, 'description': 'Good agreement between studies (κ = 0.62)', 'importance': 0.5}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.212763778, 'p_value': 0.0, 'heterogeneity': 78.3933337, 'consistency': 0.625, 'power_score': 0.996332116, 'consistency_score': 1.0}, 'limitations': ['Extreme heterogeneity (I² > 75%) indicates major inconsistency between studies', 'Moderate effect size (0.2 ≤ |dz| < 0.5) suggests modest clinical impact'], 'recommendations': ['Requires substantial additional evidence before consideration', 'Focus on addressing key statistical limitations'], 'correlation_patterns': {'correlation_delta': 0.19381179799999998, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'LOW', 'progression_marker_potential': 'MODERATE', 'sepsis_correlation': 0.26585384, 'shock_correlation': 0.459665638}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
59_110,SLC39A8,SULF2,-0.235514058,0.008860025,-0.252879388,-0.218148727,64.36493464,8,0,-0.12018554,0.007307539,0.75,0.625,612,0.06760202,TRUE,0,0.993801714,1,-0.227805372,-0.169617451,-0.43648284,-0.169617451,-0.43648284,-0.266865389,0.266865389,1.485743103,1,0,-0.133432695,ATTENUATION_NEGATIVE,67.5,0,"{'confidence_score': 67, 'overall_assessment': 'Moderate confidence - some limitations require consideration. Shows attenuation negative pattern', 'key_factors': [{'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'High', 'impact': 'negative', 'value': 64.36493464, 'description': 'High heterogeneity (I² = 64.4%) indicates substantial variation between studies', 'importance': 0.7}, {'factor': 'Effect Size', 'strength': 'Small', 'impact': 'low', 'value': 0.235514058, 'description': 'Small effect size (|dz| = 0.236) indicates subtle but detectable signal', 'importance': 0.6}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.75, 'description': 'Good agreement between studies (κ = 0.75)', 'importance': 0.5}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': -0.235514058, 'p_value': 0.0, 'heterogeneity': 64.36493464, 'consistency': 0.75, 'power_score': 0.993801714, 'consistency_score': 1.0}, 'limitations': ['Substantial heterogeneity (I² > 50%) suggests variability in study results', 'Moderate effect size (0.2 ≤ |dz| < 0.5) suggests modest clinical impact'], 'recommendations': ['Proceed with caution - address identified limitations', 'Consider additional validation studies before clinical translation', 'Investigate correlation dynamics across disease progression', 'Evaluate as potential disease staging or progression marker'], 'correlation_patterns': {'correlation_delta': -0.266865389, 'pattern_type': 'ATTENUATION_NEGATIVE', 'clinical_significance': 'MODERATE', 'progression_marker_potential': 'HIGH', 'sepsis_correlation': -0.169617451, 'shock_correlation': -0.43648284}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
70_76,DOCK5,CHEK1,-0.260551088,0.011822018,-0.283721818,-0.237380358,74.0455106,8,0,-0.194663556,0.013022986,0.75,0.625,612,0.561582171,FALSE,0,0.991704608,1,-0.102069176,-0.183400265,-0.443038748,-0.183400265,-0.443038748,-0.259638483,0.259638483,1.342492902,1,0,-0.129819242,ATTENUATION_NEGATIVE,67.5,0,"{'confidence_score': 67, 'overall_assessment': 'Moderate confidence - some limitations require consideration. Shows attenuation negative pattern', 'key_factors': [{'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'High', 'impact': 'negative', 'value': 74.0455106, 'description': 'High heterogeneity (I² = 74.0%) indicates substantial variation between studies', 'importance': 0.7}, {'factor': 'Effect Size', 'strength': 'Small', 'impact': 'low', 'value': 0.260551088, 'description': 'Small effect size (|dz| = 0.261) indicates subtle but detectable signal', 'importance': 0.6}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.75, 'description': 'Good agreement between studies (κ = 0.75)', 'importance': 0.5}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': -0.260551088, 'p_value': 0.0, 'heterogeneity': 74.0455106, 'consistency': 0.75, 'power_score': 0.991704608, 'consistency_score': 1.0}, 'limitations': ['Substantial heterogeneity (I² > 50%) suggests variability in study results', 'Moderate effect size (0.2 ≤ |dz| < 0.5) suggests modest clinical impact'], 'recommendations': ['Proceed with caution - address identified limitations', 'Consider additional validation studies before clinical translation', 'Investigate correlation dynamics across disease progression', 'Evaluate as potential disease staging or progression marker'], 'correlation_patterns': {'correlation_delta': -0.259638483, 'pattern_type': 'ATTENUATION_NEGATIVE', 'clinical_significance': 'MODERATE', 'progression_marker_potential': 'HIGH', 'sepsis_correlation': -0.183400265, 'shock_correlation': -0.443038748}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
19_65,ASCC2,CCNA2,-0.125561229,0.018504015,-0.161828432,-0.089294026,82.01965449,8,1.16E-11,0.099545092,0.022539822,0.625,0.625,612,0.190746815,FALSE,0,0.989947032,1,-0.57241468,-0.337547912,-0.403219578,-0.337547912,-0.403219578,-0.065671666,0.065671666,0.188957159,0,0,-0.032835833,STABLE,27.5,0,"{'confidence_score': 27, 'overall_assessment': 'LOW CONFIDENCE - Does not meet minimum statistical thresholds for reliable interpretation', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.125561229, 'description': 'Very small effect size (|dz| = 0.126) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 1.16e-11, 'description': 'Very strong statistical evidence (p = 1.16e-11)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'Very High', 'impact': 'negative', 'value': 82.01965449, 'description': 'Very high heterogeneity (I² = 82.0%) suggests significant inconsistency', 'importance': 0.7}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.625, 'description': 'Good agreement between studies (κ = 0.62)', 'importance': 0.5}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': -0.125561229, 'p_value': 1.16e-11, 'heterogeneity': 82.01965449, 'consistency': 0.625, 'power_score': 0.989947032, 'consistency_score': 1.0}, 'limitations': ['FAILED STATISTICAL SANITY CHECK - Results are not statistically reliable'], 'recommendations': ['DO NOT PROCEED - Biomarker fails statistical sanity checks', 'Consider alternative candidates with stronger statistical evidence'], 'correlation_patterns': {'correlation_delta': -0.06567166600000002, 'pattern_type': 'STABLE', 'clinical_significance': 'MINIMAL', 'progression_marker_potential': 'LOW', 'sepsis_correlation': -0.337547912, 'shock_correlation': -0.403219578}}",v1.0.0,2025-10-04T08:59:39.361920,FALSE
90_104,SYK,KMT5A,0.128450404,0.026668369,0.076181361,0.180719448,88.57639406,8,1.46E-06,0.039120138,0.020127837,0.625,0.5,612,0.177928159,FALSE,0,0.997359358,1,0.263998375,0.432117818,0.472652366,0.432117818,0.472652366,0.040534548,0.040534548,0.091682684,0,0,0.020267274,STABLE,27.5,0,"{'confidence_score': 27, 'overall_assessment': 'LOW CONFIDENCE - Does not meet minimum statistical thresholds for reliable interpretation', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.128450404, 'description': 'Very small effect size (|dz| = 0.128) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 1.46e-06, 'description': 'Very strong statistical evidence (p = 1.46e-06)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'Very High', 'impact': 'negative', 'value': 88.57639406, 'description': 'Very high heterogeneity (I² = 88.6%) suggests significant inconsistency', 'importance': 0.7}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.625, 'description': 'Good agreement between studies (κ = 0.62)', 'importance': 0.5}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.128450404, 'p_value': 1.46e-06, 'heterogeneity': 88.57639406, 'consistency': 0.625, 'power_score': 0.997359358, 'consistency_score': 1.0}, 'limitations': ['FAILED STATISTICAL SANITY CHECK - Results are not statistically reliable'], 'recommendations': ['DO NOT PROCEED - Biomarker fails statistical sanity checks', 'Consider alternative candidates with stronger statistical evidence'], 'correlation_patterns': {'correlation_delta': 0.040534548000000004, 'pattern_type': 'STABLE', 'clinical_significance': 'MINIMAL', 'progression_marker_potential': 'LOW', 'sepsis_correlation': 0.432117818, 'shock_correlation': 0.472652366}}",v1.0.0,2025-10-04T08:59:39.361920,FALSE
43_81,SLC2A4RG,TIAM1,0.14612804,0.01800185,0.110845063,0.181411017,81.15541913,8,4.44E-16,0.103243858,0.0122195,0.625,0.625,612,0.03321903,TRUE,0,0.996129711,1,0.127827444,0.294016903,0.425888142,0.294016903,0.425888142,0.131871239,0.131871239,0.433762852,1,0,0.06593562,AMPLIFICATION_POSITIVE,32.5,0,"{'confidence_score': 32, 'overall_assessment': 'LOW CONFIDENCE - Does not meet minimum statistical thresholds for reliable interpretation', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.14612804, 'description': 'Very small effect size (|dz| = 0.146) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 4.44e-16, 'description': 'Very strong statistical evidence (p = 4.44e-16)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'Very High', 'impact': 'negative', 'value': 81.15541913, 'description': 'Very high heterogeneity (I² = 81.2%) suggests significant inconsistency', 'importance': 0.7}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.625, 'description': 'Good agreement between studies (κ = 0.62)', 'importance': 0.5}, {'factor': 'Publication Bias', 'strength': 'High Risk', 'impact': 'negative', 'value': 0.03321903, 'description': ""Evidence of publication bias (Egger's p = 0.033)"", 'importance': 0.4}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.14612804, 'p_value': 4.44e-16, 'heterogeneity': 81.15541913, 'consistency': 0.625, 'power_score': 0.996129711, 'consistency_score': 1.0}, 'limitations': ['FAILED STATISTICAL SANITY CHECK - Results are not statistically reliable'], 'recommendations': ['DO NOT PROCEED - Biomarker fails statistical sanity checks', 'Consider alternative candidates with stronger statistical evidence'], 'correlation_patterns': {'correlation_delta': 0.13187123900000003, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'LOW', 'progression_marker_potential': 'LOW', 'sepsis_correlation': 0.294016903, 'shock_correlation': 0.425888142}}",v1.0.0,2025-10-04T08:59:39.361920,FALSE
27_61,TSPAN14,RAB20,0.153870492,0.02479321,0.105276692,0.202464291,86.29529657,8,5.43E-10,0.092850257,0.022714363,0.625,0.625,612,0.036645645,TRUE,0,0.990849882,1,0.222349752,0.326865826,0.479935049,0.326865826,0.479935049,0.153069223,0.153069223,0.454392257,1,0,0.076534611,AMPLIFICATION_POSITIVE,32.5,0,"{'confidence_score': 32, 'overall_assessment': 'LOW CONFIDENCE - Does not meet minimum statistical thresholds for reliable interpretation', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.153870492, 'description': 'Very small effect size (|dz| = 0.154) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 5.43e-10, 'description': 'Very strong statistical evidence (p = 5.43e-10)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'Very High', 'impact': 'negative', 'value': 86.29529657, 'description': 'Very high heterogeneity (I² = 86.3%) suggests significant inconsistency', 'importance': 0.7}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.625, 'description': 'Good agreement between studies (κ = 0.62)', 'importance': 0.5}, {'factor': 'Publication Bias', 'strength': 'High Risk', 'impact': 'negative', 'value': 0.036645645, 'description': ""Evidence of publication bias (Egger's p = 0.037)"", 'importance': 0.4}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.153870492, 'p_value': 5.43e-10, 'heterogeneity': 86.29529657, 'consistency': 0.625, 'power_score': 0.990849882, 'consistency_score': 1.0}, 'limitations': ['FAILED STATISTICAL SANITY CHECK - Results are not statistically reliable'], 'recommendations': ['DO NOT PROCEED - Biomarker fails statistical sanity checks', 'Consider alternative candidates with stronger statistical evidence'], 'correlation_patterns': {'correlation_delta': 0.15306922299999998, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'LOW', 'progression_marker_potential': 'MODERATE', 'sepsis_correlation': 0.326865826, 'shock_correlation': 0.479935049}}",v1.0.0,2025-10-04T08:59:39.361920,FALSE
60_113,N4BP2L1,LBH,0.169133842,0.009377534,0.150754214,0.187513471,67.3802391,8,0,0.073418244,0.013150074,0.75,0.625,612,0.878220437,FALSE,0,0.990729033,1,0.231106243,0.211879027,0.350983238,0.211879027,0.350983238,0.139104211,0.139104211,0.626937178,1,0,0.069552105,AMPLIFICATION_POSITIVE,43.5,0,"{'confidence_score': 43, 'overall_assessment': 'Low confidence - significant statistical limitations', 'key_factors': [{'factor': 'Effect Size', 'strength': 'Negligible', 'impact': 'negative', 'value': 0.169133842, 'description': 'Very small effect size (|dz| = 0.169) suggests limited biological relevance', 'importance': 0.9}, {'factor': 'Statistical Significance', 'strength': 'Highly Significant', 'impact': 'high', 'value': 0.0, 'description': 'Very strong statistical evidence (p = 0.00e+00)', 'importance': 0.8}, {'factor': 'Heterogeneity', 'strength': 'High', 'impact': 'negative', 'value': 67.3802391, 'description': 'High heterogeneity (I² = 67.4%) indicates substantial variation between studies', 'importance': 0.7}, {'factor': 'Study Consistency', 'strength': 'Good', 'impact': 'positive', 'value': 0.75, 'description': 'Good agreement between studies (κ = 0.75)', 'importance': 0.5}, {'factor': 'Study Quality', 'strength': 'Moderate', 'impact': 'neutral', 'value': 4, 'description': 'Study quality: several studies, moderate sample size', 'importance': 0.3}], 'evidence_summary': {'n_studies': 8, 'total_samples': 612, 'effect_size': 0.169133842, 'p_value': 0.0, 'heterogeneity': 67.3802391, 'consistency': 0.75, 'power_score': 0.990729033, 'consistency_score': 1.0}, 'limitations': ['Substantial heterogeneity (I² > 50%) suggests variability in study results', 'Small effect size (|dz| < 0.2) may have limited clinical relevance'], 'recommendations': ['Requires substantial additional evidence before consideration', 'Focus on addressing key statistical limitations'], 'correlation_patterns': {'correlation_delta': 0.13910421099999998, 'pattern_type': 'AMPLIFICATION_POSITIVE', 'clinical_significance': 'LOW', 'progression_marker_potential': 'LOW', 'sepsis_correlation': 0.211879027, 'shock_correlation': 0.350983238}}",v1.0.0,2025-10-04T08:59:39.361920,TRUE
